Árvore gerada por busca
Vértice: 1, Pai: 655, Distância: 1.48
Vértice: 2, Pai: 2180, Distância: 2.18
Vértice: 3, Pai: 5087, Distância: 2.05
Vértice: 4, Pai: 1570, Distância: 2.42
Vértice: 5, Pai: 5635, Distância: 2.45
Vértice: 6, Pai: 4879, Distância: 1.93
Vértice: 7, Pai: 8930, Distância: 2.5
Vértice: 8, Pai: 6612, Distância: 1.64
Vértice: 9, Pai: 3421, Distância: 1.87
Vértice: 10, Pai: -1, Distância: 0
Vértice: 11, Pai: 5763, Distância: 2.1
Vértice: 12, Pai: 9086, Distância: 2.42
Vértice: 13, Pai: 9803, Distância: 2.36
Vértice: 14, Pai: 3739, Distância: 2.35
Vértice: 15, Pai: 7351, Distância: 1.8
Vértice: 16, Pai: 4575, Distância: 2.14
Vértice: 17, Pai: 4972, Distância: 2.02
Vértice: 18, Pai: 9717, Distância: 2.23
Vértice: 19, Pai: 192, Distância: 2.49
Vértice: 20, Pai: 1034, Distância: 2.38
Vértice: 21, Pai: 724, Distância: 1.48
Vértice: 22, Pai: 1160, Distância: 2.19
Vértice: 23, Pai: 6392, Distância: 2.52
Vértice: 24, Pai: 5515, Distância: 2.52
Vértice: 25, Pai: 7567, Distância: 2.53
Vértice: 26, Pai: 2366, Distância: 2.03
Vértice: 27, Pai: 5208, Distância: 1.94
Vértice: 28, Pai: 4760, Distância: 2.1
Vértice: 29, Pai: 2048, Distância: 1.78
Vértice: 30, Pai: 4045, Distância: 1.72
Vértice: 31, Pai: 6188, Distância: 2.52
Vértice: 32, Pai: 3636, Distância: 1.92
Vértice: 33, Pai: 537, Distância: 1.43
Vértice: 34, Pai: 6151, Distância: 2.41
Vértice: 35, Pai: 3550, Distância: 2.74
Vértice: 36, Pai: 8352, Distância: 1.65
Vértice: 37, Pai: 1527, Distância: 2.02
Vértice: 38, Pai: 4194, Distância: 2.01
Vértice: 39, Pai: 1037, Distância: 2.54
Vértice: 40, Pai: 1223, Distância: 2.05
Vértice: 41, Pai: 9801, Distância: 2.34
Vértice: 42, Pai: 2026, Distância: 1.45
Vértice: 43, Pai: 5449, Distância: 2.05
Vértice: 44, Pai: 7501, Distância: 1.58
Vértice: 45, Pai: 3955, Distância: 2.41
Vértice: 46, Pai: 4139, Distância: 2.87
Vértice: 47, Pai: 355, Distância: 1.94
Vértice: 48, Pai: 3326, Distância: 0.97
Vértice: 49, Pai: 3383, Distância: 1.62
Vértice: 50, Pai: 2527, Distância: 1.2
Vértice: 51, Pai: 9893, Distância: 1.95
Vértice: 52, Pai: 3595, Distância: 2.37
Vértice: 53, Pai: 5874, Distância: 2.52
Vértice: 54, Pai: 8564, Distância: 2.42
Vértice: 55, Pai: 7890, Distância: 2.57
Vértice: 56, Pai: 8073, Distância: 1.97
Vértice: 57, Pai: 9634, Distância: 1.76
Vértice: 58, Pai: 5588, Distância: 2.55
